mass,weight,sample,role
97.21362,1.0,Data,data
232.86192,1.0,Data,data
197.1923,1.0,Data,data
208.06764,1.0,Data,data
281.40814,1.0,Data,data
254.95978,1.0,Data,data
117.31085,1.0,Data,data
268.88483,1.0,Data,data
184.69293,1.0,Data,data
296.68845,1.0,Data,data
133.94615,1.0,Data,data
405.61948,1.0,Data,data
93.07869,1.0,Data,data
224.08481,1.0,Data,data
91.13889,1.0,Data,data
649.6927,1.0,Data,data
665.3864,1.0,Data,data
193.84508,1.0,Data,data
463.358,1.0,Data,data
597.2502,1.0,Data,data
183.8568,1.0,Data,data
306.50824,1.0,Data,data
432.65234,1.0,Data,data
350.3478,1.0,Data,data
310.86963,1.0,Data,data
254.50916,1.0,Data,data
232.6125,1.0,Data,data
89.87964,1.0,Data,data
195.53935,1.0,Data,data
366.99106,1.0,Data,data
209.3806,1.0,Data,data
138.65213,1.0,Data,data
258.58255,1.0,Data,data
199.42567,1.0,Data,data
277.1141,1.0,Data,data
346.3201,1.0,Data,data
405.92163,1.0,Data,data
279.15933,1.0,Data,data
220.47928,1.0,Data,data
222.99979,1.0,Data,data
287.6238,1.0,Data,data
199.53851,1.0,Data,data
222.33543,1.0,Data,data
148.60336,1.0,Data,data
173.39813,1.0,Data,data
218.65038,1.0,Data,data
286.04813,1.0,Data,data
337.02448,1.0,Data,data
311.7918,1.0,Data,data
317.38486,1.0,Data,data
542.82886,1.0,Data,data
213.80429,1.0,Data,data
134.7918,1.0,Data,data
202.5972,1.0,Data,data
246.2401,1.0,Data,data
194.35097,1.0,Data,data
263.34293,1.0,Data,data
257.6607,1.0,Data,data
199.1828,1.0,Data,data
202.67352,1.0,Data,data
266.69446,1.0,Data,data
356.51047,1.0,Data,data
169.09885,1.0,Data,data
254.96976,1.0,Data,data
213.7402,1.0,Data,data
95.332695,1.0,Data,data
213.98952,1.0,Data,data
89.53421,1.0,Data,data
293.48337,1.0,Data,data
696.74567,1.0,Data,data
313.2692,1.0,Data,data
268.01794,1.0,Data,data
170.61192,1.0,Data,data
616.9311,1.0,Data,data
204.28584,1.0,Data,data
197.91629,1.0,Data,data
1638.579,1.0,Data,data
295.9622,1.0,Data,data
193.64864,1.0,Data,data
250.65416,1.0,Data,data
210.7198,1.0,Data,data
342.63428,1.0,Data,data
228.35294,1.0,Data,data
89.29481,1.0,Data,data
189.91637,1.0,Data,data
82.62192,1.0,Data,data
471.8792,1.0,Data,data
411.28867,1.0,Data,data
201.62343,1.0,Data,data
286.00253,1.0,Data,data
237.86705,1.0,Data,data
227.71312,1.0,Data,data
256.61215,1.0,Data,data
230.91237,1.0,Data,data
222.96767,1.0,Data,data
276.01025,1.0,Data,data
235.69214,1.0,Data,data
141.79298,1.0,Data,data
151.31958,1.0,Data,data
